🐕,dog,1,2
🐺,wolf,2,2
🦊,fox,2,2
🐩,poodle,2,2
🐈,cat,1,2
🐆,leopard,2,3
🐅,tiger,2,3
🦍,gorilla,2,3
🐒,monkey,2,2
🐖,pig,1,2
🐎,horse,1,3
🐐,goat,1,2
🐏,ram,1,2
🐑,sheep,1,2
🐗,boar,2,4
🦏,rhinoceros,2,3
🐘,elephant,1,4
🐼,panda,3,2
🐨,koala,3,2
🐪,camel,2,2
🐄,cow,1,3
🐂,ox,2,3
🐻,bear,1,4
🐃,water buffalo,2,3
🐇,rabbit,2,2
🐿,chipmunk,3,1
🐹,hamster,2,1
🐭,mouse,2,1
🐓,rooster,1,1
🐔,chicken,1,1
🐥,chick,2,1
🦃,turkey,1,1
🐦,pigeon,1,1
🕊,dove,1,1
🦅,eagle,1,1
🦉,owl,3,1
🦆,duck,1,1
🐧,pengiun,3,1
🐢,turtle,3,1
🐙,octopus,3,1
🦀,crab,2,1
🦐,prawn,1,1
🦈,shark,1,3
🐬,dolphin,2,2
🐋,whale,1,4
🐟,fish,1,1
🐡,blowfish,1,1
🐍,snake,3,2
🐊,crocodile,2,3
🦎,lizard,1,1
🐛,caterpillar,2,1
🐜,ant,1,1
🐌,snail,2,1
🐝,bee,2,1
🐞,ladybug,3,1
🦋,butterfly,2,1
